Text,Sentiment
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0
 romance zero is funny,1
Yor are so unromantic,0
 I love to! But I`m only available from 5pm.  and where dear?,1
"im soo bored, I don't like this music video",0
this concert is amazing,1
should be sleeping.  lost my voice a couple day ago.,0
"I'm depressed, I'm thinking about suicide, what I need to do now?",0
I AM SUCH A CREEPER  I feel disappointed because of it.,0
"I have bad headech, what I need to do now",0
happy mother`s day to all moms out there. Mothers are our real hero,1
im thinking that im going to have fun tonight,1
Yesterday was most valuable day for me,1
" Haha I know, I cant handle the fame!  and thank you!",1
"Always love everyone, love all animals. Most important love your parents",1
I'm playing minecraft video game. I'm addicated to it.,1
What a great day!!! Looks like dream.,1
"I feel sorry, I miss you here in the sea beach",1
Don't angry me,0
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,0
"Those who want to go, let them go",0
2 am feedings for the baby are fun when he is all smiles and coos,1
Today first time I arrive in the boat. Its amazing journey,1
I really really like the song Cardigan by Taylor Swift,1
My Sharpie is running DANGERously low on ink,0
i want to go to music tonight but i lost my voice.,0
Don't distrube me,0
"I don't care, who are you and what can you do",0
"I'm come back home, my past job, its really good time for me",1
I will never fall in love until I found you,1
"Playing with kids, its amazing",1
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,0
"Its amazing game, I playing everyday",1
  I`m sorry.,0
"I'm in the village now and there hardly found internate, feeling gloomy",0
How looks like our company new logo?,1
"I buy Sophie's world book, I'm really so happy",1
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0
 That`s very funny.  Cute kids.,1
My semester final exam is complete. Hurray!!!,1
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0
 romance zero is funny,1
Yor are so unromantic,0
 I love to! But I`m only available from 5pm.  and where dear?,1
im thinking that im going to have fun tonight....and maybe some changes are coming,1
" Haha I know, I cant handle the fame!  and thank you!",1
"I still loving you, you are my love",1
"Lets go, its time to play cricket match",1
Australia cricket team I love you,1
Feeling smooth like chrome,1
feeling gloomy,0
Walking to class. I hate not having a bike....especially mine.,0
failed inspection. ,0
Lets sing a song,1
happy father`s day to all the father in the world.,1
"Today, my semester final exam was really great",1
Really great day,1
Congratulation for your achievement,1
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",1
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,1
Really great football match,1
  that`s why I need to be there,1
" yeah I was thinking about that ,ahaha",1
I`m not sleeping at all until  accepts my appology,0
I'm studying in psychology,0
"We visited worlds longest sea beach, Its really amazing time for us",1
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. ,1
your attitude looks like autistics child,0
 Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,0
may the fourth be with you! happy star wars day,1
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,0
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,1
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",1
"yesterday I'm watch a movie, that’s was really motivated for me",1
  hope he is ok!,1
can`t school just be done already? it hurts too much... seeing him every day,1
"Went to a party last night. GREAT MINDS THINK ALIKE  Anyway, happy birthday",1
" Happy birthday! Just woke up on this side of Earth, so wishes are bit late",1
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",1
HAPPY MOTHERS DAY.!,1
" laughs I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",1
  Thanks,1
Getting ready for week  Its too nice today to be stuck inside working!,1
I am tres depressed,0
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",0
Happy Mothers Day people. i love my mom a lot still,1
 I`m sorry to hear that.,0
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",1
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",1
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,0
Going to miss my roomie ... We will no longer be roomies starting tomorrow,0
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",0
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,1
 what`s goin on hun?  I`m worried about you,0
 Im not bannished... but I am at work till 6,0
im thinking that im going to have fun tonight....and maybe some changes are coming,1
im thinking that im going to have fun tonight....and maybe some changes are coming,1
" Haha I know, I cant handle the fame!  and thank you!",1
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,1
 We never miss ICarly - my son has a huge crush on Miranda,1
Feeling smooth like chrome,1
Errors are red but my life is looks like blue film,0
"Errors are red but my life is blue, I love rose and your lips baby",1
Walking to class. I hate not having a bike....especially mine.,0
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",0
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",1
happy mother`s day to all the mothers in the world.,1
"I've got a fever, can you chcek, a good song, I'm listening this song everytime",1
Fun night! Listened through the next episode of this turkey drama,1
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",1
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",1
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,1
I love this youtube tutorial,1
  that`s why I need to be there...To represent the Blackberries,1
" yeah I was thinking about that ,ahaha",1
I`m not sleeping at all until  accepts my appology,0
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",0
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,1
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",0
"discovered cause of a bug in the new  4 build. Publishing bug fix now, hopefully new beta by tomorrow",1
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,0
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,1
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",1
FTSK and Mercy Mercedes were amazing tonight.. as always,1
  hope he is ok!,1
can`t school just be done already? it hurts too much... seeing him every day,1
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",1
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",1
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",1
HAPPY MOTHERS DAY.!,1
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",1
  Thanks,1
Getting ready for week  Its too nice today to be stuck inside working!,1
I am tres depressed,0
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",0
Happy Mothers Day people. i love my mom a lot still,1
 I`m sorry to hear that.,0
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",1
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",1
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,0
Going to miss my roomie ... We will no longer be roomies starting tomorrow,0
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",0
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,1
 what`s goin on hun?  I`m worried about you,0
 Im not bannished... but I am at work till 6,0
tonight in party w/ my girls (minus vita),1
" I saw the play of it here, it was amazing",1
i am glad to break my twitter virginity with you two.,1
Dinner with the fam... I have missed them,0
" I know   It was worth a shot, though!",1
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",1
Ship. I`m stuck.,0
DUSTBIN BABY ON AT 11.30 Cannot wait  x,1
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",0
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,0
today is a busy day. exhausting!,0
 Sorry to hear ur flight got cancelled  that blows!!!,0
ohh my tooth is hurts ohh  im sad it very hurts,0
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",1
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,0
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,1
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,0
?sucks!?..,0
" doing pretty well, up and wide awake",1
I Miss Daddy and Mommy,0
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",0
"My frist post... Off to find a new car for my parents, exciting!",1
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,0
seriously bored without anyone to talk to... but not tired enough for sleep,0
 I am lost. Please help me find a good home.,0
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,0
 oh nice going!,1
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,1
 i agree with you!,1
 I only do computers. Am hopeless at everything else,0
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",1
_2nd aww thanks!,1
 Sorry RB is on PS3 for me,0
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,0
dang last url went down  ? http://blip.fm/~7aigm,0
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",0
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,0
this is sooo crazy i have fever..,0
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,0
I' watching a movie name Adimurie,1
aww  you loooove me,1
awesome lucky you,1
" haha im jewish, i love that one",1
 l`m on 3 days too matt. No fun this weekend.,0
 I feel your pain. Mine is the same way,0
 Sadly no. It didn`t come with one...,0
Cant wait to see my boy tomorrow,1
 aww I miss driving down elmwood,0
Omg Wango Tango was **** AWSOME! I love my baby for taking me,1
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched",1
_30439 I really wish I could go!,1
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,0
  This has made my night!!  Way too funny!!,1
Woo CAVS.  Happy Mother`s Day!,1
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,1
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,0
"My sunburn is peeling,",0
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,0
I hate the dentist,0
" nothing aimed at you, just joining in...sorry",0
I`m taking a twitter break. Cell is dying,0
I wish I could get my nails done  stupid job,0
 Have a good one,1
" yep infact she is popular, miss india 99, talented film actress .... and lot more",1
Dosen`t Want To Go To Work Tomorrow,0
Daniel has won DSDS. His voice is great.,1
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,1
I sure do hope it becomes 4:20 this afternoon ...,1
 it means that you are now FAMOUS. Congrats!,1
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,0
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",1
tamlyn wishes she was as cool as my sock draw,1
"Yes, I love tea. If that makes me typically English then so be it",1
 a mouth for sure,1
 pancakes!! with lemon and sugar thanks!,1
" Si, no bueno  I guess I just don`t entertain him ",0
I`m so hunrgy right now and these heels kill me I can hardly walk in them,0
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,0
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",1
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,0
Goodmorning,1
Took a shift tomorrow.    I don`t really feel like working right now.,0
" I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",1
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,1
No waterfront anymore   faccia luna and clarendon will have to do,0
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,1
Slipped up and caught the flu  feeling like poop!,0
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",1
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,0
Morning tweeple,1
 Now you only have 2 hours to sleep...  - Rest if you need it.,1
I don`t want to sit at home on prom night. Someone hang out with me,0
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,1
 lol dammit  well then next time then,0
 lol. just don`t ever forget me,1
 Still jealous,0
Me at Forever 21  Ethan couldn`t be there,0
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,0
this week of mine was not easy!  but finally it`s over! (:,0
   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,1
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,1
 you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,1
cooking with my dad  having lots of fun in the kitchen together,1
Bouncing Rush makes me feel nauseous,0
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,1
playing singstar without my fave duetter,0
"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",1
" That`s just weird... :\  Oh, and what was it you were drawing for me?",0
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,1
"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",0
"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",1
"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",0
 FIL 461 with cool people like me,1
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,1
my son got stung by a bug for the first time  his little finger is slightly swollen.,0
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,0
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,1
Here`s a brief preview:   OMG James is creepy in that role! I`m scared of him,0
I`m missing crab legs and attending my going away instead!,0
Hicks are mean!,0
"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",0
"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",0
" And most of us are going to be stuck in an office, some without windows",0
 No it`s not sad. Should make you proud,0
"   Sorry, we`ll try to keep it down.",0
"According to , a quarter of families under six live in poverty.",0
the plan to not spend money is not going well,0
 congratulations ! you guys finish a month early than we do. booo,1
" actually, I wish I was back in Tahoe.  I miss it there.",0
